species_de,species_la,priority_tier,typical_size_cm,habitat_de,german_name_origin,fun_fact_de,season_hint,regulations_link,recipe_camp,recipe_home,special_relevance,photo_notes
Steinpilz,Boletus edulis,1,"5–25 (Hut)",Laub- und Nadelwälder auf sauren Böden,"Von 'Stein' — der feste und kompakte Fruchtkörper erinnert an einen Stein","Der Steinpilz bildet Mykorrhiza mit über 20 Baumarten und kann bis zu 1 kg wiegen. In Italien als 'Porcini' ein Nationalheiligtum.",Juni–November,https://www.bfn.de/artenportraits,Steinpilz-Scheiben auf Alufolie gegrillt — Olivenöl und Flockensalz reichen,Steinpilzrisotto mit Parmesan — frische Pilze in Butter anbraten,Mykorrhiza-Pilz: Zeigt gesunden Waldboden an. Indikator für intakte Ökosysteme.,SCHNITTKANTE ZEIGEN: Weißes Fleisch das nicht blau anläuft ist DAS Erkennungsmerkmal. Natürliches Waldlicht bevorzugen.
Pfifferling,Cantharellus cibarius,1,"3–10 (Hut)",Moosige Laub- und Nadelwälder,"Von 'Pfeffer' — der leicht pfeffrige Geschmack gab den Namen","Der Pfifferling duftet nach Aprikosen. In Deutschland der beliebteste Speisepilz nach dem Champignon. Sammelmenge: max. 1–2 kg/Tag.",Juni–Oktober,https://www.bfn.de/artenportraits,Pfifferlinge in der Pfanne über dem Lagerfeuer mit Speck und Zwiebeln,Pfifferling-Rahmsauce zu Semmelknödeln — klassisch bayerisch,Sammelmengen-Regelung beachten (BNatSchG §39). Nie mehr als für Eigenbedarf.,GOLDENE FARBE IM WALD: Am besten morgens bei Seitenlicht fotografieren — der bernsteinfarbene Ton leuchtet dann besonders.
Fliegenpilz,Amanita muscaria,1,"8–20 (Hut)","Birken- und Fichtenwälder, saure Böden","Von 'Fliege' — wurde historisch als Fliegenbekämpfungsmittel in Milch eingelegt","⚠️ GIFTIG. Der ikonische rote Hut mit weißen Punkten ist DAS Symbol für Pilze weltweit. Enthält Ibotensäure und Muscimol — NICHT essen.","Juli–November (Hauptsaison September–Oktober)",https://www.bfn.de/artenportraits,🌿 Ökologie statt Rezept: Wichtiger Mykorrhiza-Partner für Birken und Fichten,🌿 Ökologie statt Rezept: Kulturhistorisch bedeutsam — Glückssymbol seit dem Mittelalter,⚠️ GIFTIG — Safety-critical block. Niemals mit essbaren Pilzen verwechseln.,IKONISCH: Der fotogenste Pilz überhaupt. Roten Hut mit weißen Punkten von oben und seitlich zeigen. Regentropfen auf dem Hut sind Gold wert.
Marone,Imleria badia,1,"5–15 (Hut)",Nadelwälder (besonders Fichte) auf sauren Böden,"Von 'Marone' (Kastanie) — die kastanienbraune Hutfarbe","Die Marone ist der häufigste Speisepilz in deutschen Nadelwäldern. Das Fleisch verfärbt sich beim Anschnitt blau — harmlos!",Juli–November,https://www.bfn.de/artenportraits,Maronen-Scheiben auf dem Grillrost — einfach mit Butter und Thymian,Maronensuppe mit Sahne — samtige Herbstsuppe,Blaufärbung beim Anschnitt ist harmloses Erkennungsmerkmal — nicht mit Giftpilzen verwechseln!,BLAUFÄRBUNG DOKUMENTIEREN: Frischen Schnitt fotografieren — die Blaufärbung nach 1–2 Minuten zeigt Echtheit.
Parasol,Macrolepiota procera,2,"15–40 (Hut)",Waldlichtungen und Wiesen,"Von 'Parasol' (Sonnenschirm) — der ausgebreitete Schirm erinnert an einen Sonnenschirm","Einer der größten essbaren Pilze Europas — Hüte bis 40 cm Durchmesser! Der Stiel ist nicht essbar. Wird paniert wie ein Wiener Schnitzel gegessen.",Juli–Oktober,https://www.bfn.de/artenportraits,Parasol-Schnitzel über dem Feuer paniert — nur den Hut verwenden,Panierter Parasolhut mit Kartoffelsalat — das Pilz-Schnitzel,Verwechslungsgefahr mit Gift-Riesenschirmling (Chlorophyllum molybdites) — Sporenabdruck machen!,GRÖSSEVERGLEICH ZEIGEN: Hand oder Messer neben den Hut legen — die Größe ist DAS Wow-Merkmal.
Hallimasch,Armillaria mellea,2,"3–15 (Hut)","An Laubholzstümpfen, parasitisch","Von 'Heil im Arsch' — mittelalterlicher Volksname wegen der abführenden Wirkung bei Rohgenuss","⚠️ NUR GEKOCHT ESSBAR. Roh giftig! Der Hallimasch ist einer der größten Lebewesen der Erde — ein einzelnes Myzel in Oregon erstreckt sich über 9 km².",September–November,https://www.bfn.de/artenportraits,🌿 Ökologie statt Rezept: Parasitischer Pilz — zeigt absterbende Bäume an,Hallimasch mindestens 15 Min. kochen — dann in Butter mit Knoblauch braten,⚠️ NUR GEKOCHT ESSBAR — roh verursacht Magen-Darm-Beschwerden.,BÜSCHELWUCHS ZEIGEN: Typisch in Gruppen an Holzstümpfen — Habitat mit fotografieren.
Birkenpilz,Leccinum scabrum,2,"5–15 (Hut)",Ausschließlich bei Birken (Mykorrhiza),"Von 'Birke' — wächst nur in Symbiose mit Birken","Der Birkenpilz ist DER Einsteigerpilz: leicht zu erkennen, kaum verwechselbar, mild im Geschmack. Der Stiel hat charakteristische schwarze Schuppen.",Juli–Oktober,https://www.bfn.de/artenportraits,Birkenpilze in Scheiben auf Alufolie mit Butter und Salz,Birkenpilz-Omelette — mild und anfängerfreundlich,Idealer Einsteigerpilz — kaum verwechselbar dank schwarzer Stielschuppen und Birken-Habitat.,STIELSCHUPPEN ZEIGEN: Schwarze Schuppen auf weißem Stiel sind DAS Erkennungsmerkmal. Immer eine Birke im Hintergrund.
Rotkappe,Leccinum aurantiacum,2,"5–20 (Hut)","Espenwälder, Birkenwälder","Von der leuchtend orangeroten Hutfarbe","Die Rotkappe verfärbt sich beim Anschnitt dramatisch schwarz — völlig harmlos, aber ein faszinierendes Schauspiel!",Juli–Oktober,https://www.bfn.de/artenportraits,Rotkappen in Scheiben gegrillt — das Schwarzwerden beim Kochen ist normal,Rotkappe-Gulasch mit Paprika — das Schwarzfärben verschwindet in der Sauce,Schwarzfärbung beim Kochen ist harmlos — nicht abschrecken lassen!,VERFÄRBUNG DOKUMENTIEREN: Frischen Schnitt fotografieren — die dramatische Schwarzfärbung ist shareworthy.
Champignon,Agaricus bisporus,3,"3–12 (Hut)","Wiesen, Weiden, Komposthaufen","Von französisch 'champignon' (Pilz) — ins Deutsche übernommen","Der weltweit meistgegessene Pilz — 40% der globalen Pilzproduktion. Wild-Champignons haben mehr Geschmack als Zuchtware.",Juni–Oktober,https://www.bfn.de/artenportraits,Champignons auf dem Grillrost mit Kräuterbutter,Champignon-Rahmsuppe mit frischen Wildchampignons,⚠️ Verwechslungsgefahr mit Knollenblätterpilz (Amanita phalloides) — TÖDLICH. Lamellen des Champignons sind rosa/braun NIEMALS weiß.,LAMELLEN ZEIGEN: Rosa bis braune Lamellen sind DAS Unterscheidungsmerkmal zum tödlichen Knollenblätterpilz.
Knollenblätterpilz,Amanita phalloides,3,"5–15 (Hut)","Laubwälder, besonders Eiche und Buche","Von 'Knolle' (die Stielbasis) und 'Blätter' (die Lamellen)","⚠️ TÖDLICH GIFTIG. Verantwortlich für 90% aller tödlichen Pilzvergiftungen in Europa. Schon 50 g können einen Erwachsenen töten.",Juni–Oktober,https://www.bfn.de/artenportraits,🌿 Ökologie statt Rezept: Tödlich giftig — Mykorrhiza-Partner von Eichen und Buchen,🌿 Ökologie statt Rezept: Wichtig für Waldökosystem trotz Giftigkeit — nie entfernen,⚠️ TÖDLICH GIFTIG — Safety-critical. 90% aller tödlichen Pilzvergiftungen in Europa.,⚠️ MANSCHETTE UND KNOLLE ZEIGEN: Hängender Ring am Stiel + knollige Basis = tödlich. Nie anfassen ohne Handschuhe für Foto.
