gipfel_de,gipfel_region,priority_tier,hoehe_m,schwierigkeit,german_name_origin,fun_fact_de,best_season,reference_link,route_block,huetten_block,special_relevance,photo_notes
Zugspitze,Bayern/Österreich,1,2962,T4,"Spitze = peak; Zug = pull (ancient name, possibly from Zugstream)","Deutschlands höchster Berg mit drei Gipfelkreuzen und grenzüberschreitender Seilbahn. An klaren Tagen sieht man von hier aus bis zur Konstellation von vier Ländern.","Juni–September","https://www.alpenverein.de/","Höllentalklamm-Route: Start Grainau, 5h. Zahnradbahn ab Garmisch-Partenkirchen (einfacher). T3-T4 Hochtour via Schneefelder.","Zugspitze Platt (2950m), Hochzeiger Hütte (2308m), Knorrhütte (2051m), Reintalanger Hütte (1370m)","Höchster Berg Deutschland; Grenze zu Österreich; Gletschergebiete; magnetische Anomalie","Klassisches Gipfelbild: Gipfelkreuz mit Alpenpanorama. Sonnenaufgang von der Platt-Seite. Wetterumschwung dramatisch sichtbar von oben."
Watzmann,Bayern,1,2713,T3,"Watzmann: Legendärer Riese aus Bechtaler Volkskunde. Name seit 13. Jahrhundert belegt.","Das Watzmann-Ostkar ist eine klassische Todeszone: 150+ Felsstürze pro Jahr. Die 'Watzmann-Frau' und 'Watzmann-Kinder' sind separate Gipfel der Massivgruppe.","Juli–September","https://www.alpenverein.de/","Watzmann-Überschreitung (klassisch): Wimbachgriestor-Start, Watzmann-Haus, 6-7h. T3 Kletterei. Via Hallein-Scharte deutlich anspruchsvoller.","Watzmann-Haus (1930m), Edenalp-Hütte (1653m)","Kulturhistorisch: Eine Sage von gotteslästerlichem Tyrann, der verflucht wurde. Geologisch: Dachstein-Kalk (dramatisch); Almgebiet.","Watzmann-Überschreitung als Silhouette. Blick von Königssee unten dramatisch. Sonnenuntergang über Östliche Watzmann-Wand."
Nebelhorn,Bayern,1,2224,T2,"Nebel-Horn: Horn = Berggrat. Berg schafft häufig eigene Wolkenbildung.","Dreiseilbahn-Kombination seit 1962 — eine der beeindruckendsten Bergbahn-Anlagen der Alpen. Von hier aus: 400 Gipfel sichtbar an klaren Tagen.","Juni–Oktober","https://www.tourentipp.com/","Wanderweg ab Seealp (Bergbahn): 2h, T2 einfach. Klettersteig 'Heilbronner Weg' T4/T5 technisch. Überschreitung zum Hochvogel (anspruchsvoll).","Nebelhorn Hütte (2224m), Höfatsalpe (1788m)","Geohistorisch: Paragliding-Hotspot; Geomorphologie der Erosion; Allgäu-Hochland Entstehung.","Kammwanderung mit 400 Gipfeln im Hintergrund. Sonnenaufgang über Alpenvorland. Seilbahn und Berg kontrastiv."
Kampenwand,Bayern,1,1669,T2,"Kampe: Alte Bezeichnung für Berghang. Wand: Felswand.","Lieblingswanderung König Ludwigs II., regelmäßig auf den Weg nach Schloss Neuschwanstein-Sicht. Heilbronner Steig & Breitenbergbahn seit 1928.","Juni–Oktober","https://www.tourentipp.com/","Breitenbergbahn (Seilbahn ab Scheidegg): Auffahrt zur Hochalp, 1.5h Wanderung zu Kampenwand-Gipfel. T2.","Hochalp Hütte (1780m), Berggasthaus Hochalp","Kulturhistorisch: Ludwig-II.-Wanderweg; Blick ins Ostallgäu; Kulturlandschaft.","Markantes Gipfelkreuz. Aussicht ins Ostallgäu. Walchensee & Herzogstand dramatisch im Hintergrund."
Hochvogel,Bayern,2,2592,T4,"Vogel: Möglicherweise vom Altdeutschen Fog (feuer) = steiler Fels. Hochvogel = Hochberg mit Felscharakter.","Geologisch einzigartig: Nagelfluh-Formation (Rundhöcker-Moräne). Einsturzkante von etwa 300m — sichtbar von unten wie Vogelflügel.","Juli–September","https://www.alpenverein.de/","Hochvogel via Schrecksee (Bachtelpass): 6h, T4 Klettersteig, exponiert, vergittert. Schöne Route über Rauheck.","Hochvogel Hütte (2244m), Prinz-Luitpold-Hütte (1990m)","Geomorphologisch: Einsturzkante Hochvogel; Moränen-Geologie; Schrecksee Felsbecken.","Einsturzkante dramatisch (wild). Schrecksee türkisblau unten. Kontrast hell/dunkel bei Gewittern."
Großer Arber,Bayern,2,1456,T2,"Arber: Wahrscheinlich keltisch-germanisches Stammeswort für 'Berg/Erhebung'. Großer = Hauptgipfel.","Moorlandschaft um Arber ist FFH-Gebiet (Flora-Fauna-Habitat): Hochmoor mit Torfabbau-Historie seit 1700er Jahren. Arber-Seewanderung durchquert Bergwald.","Juni–Oktober","https://www.tourentipp.com/","Arber-Sesselbahn (ab Lam): 1.5h Gipfelnähe + 30min Fußmarsch T1. Oder klassisch von Lamed via Ibmer Straße: 3h T2.","Arber Hütte (1536m, DAV), Kulzer Hütte (1250m)","Ökologisch: Hochmoor-Regeneration; Biodiversität Bayerischer Wald; Torfabbau-Geschichte.","Moorlandschaft vom Gipfel. Torfmoore kontrastiv grün/braun. Wald-Massiv dramatisch bei Sonnenuntergang."
Wendelstein,Bayern,2,1838,T3,"Wendel: Spindelförmig, drehend. Stein: Gipfel. Name bezieht sich auf die Spiralform des Aufstiegs.","Zahnradbahn seit 1912! Eine der ältesten Gebirgsbahnen Deutschlands (elektrifiziert 1925). Gipfel mit Kapelle & Observatorium.","Juni–Oktober","https://www.alpenverein.de/","Zahnradbahn ab Brannenburg: 40min. Zu Fuß via Osterhofen: 5h T3. Klettersteig 'Klettersteig am Wendelstein' T4.","Wendelstein Hütte (1838m, direkt am Gipfel), Osterhofen Hütte (855m)","Technikgeschichte: Zahnradbahn 1912; Observatorium; Kapelle St. Benedikt seit 1890.","Zahnradbahn vs. Wanderer dramatisch. Gipfel-Kapelle als Motiv. Rosenheim-Ebene unter dem Berg."
Herzogstand,Bayern,2,1731,T2,"Herzog: Titel. Stand: Bergkuppe. Name: Lage des Jagdsitzes von König Ludwig II. bzw. Herzögen.","Lieblingsberg König Ludwigs II. — regelmäßige Wanderungen dokumentiert. 'Herzogstand-Walchensee' Panorama ist literarisch verewigt im Freundes-Kreis des Königs.","Juni–Oktober","https://www.tourentipp.com/","Walchenseebahn (Seilbahn): 10min, dann 20min Fußmarsch T1. Oder von Kochel: 2h, T2 klassisch. Gratwanderung zu Heimgarten anspruchsvoll.","Herzogstand Hütte (1531m), Walchenseebahn-Bergstation (1450m)","Kulturhistorisch: Ludwig-II.-Wanderwege; Walchensee-Szenerie; Kunstgeschichte-Bezug.","Walchensee stahlblau unter dem Gipfel. Gipfelkreuz dramatisch bei Sonnenuntergang. König-Ludwig-Wanderweg sichtbar."
Brecherspitz,Bayern,3,1683,T2,"Brecher: Wildbach, Geröll brechend. Spitz: Spitzer Berg.","Schliersee-Klassiker seit Beginn des Alpintourismus 1870er. Alte Alm-Infrastruktur von 500+ Jahren. Übergang zur Miesbach-Kultur-Landschaft.","Juni–Oktober","https://www.tourentipp.com/","Schliersee-Ostufer via Oberbauer/Reutweg: 2.5h T2. Oder Fronreute: 3h T2. Kurzer Auf/Ab optimal für Wanderer.","Brecherspitz Alm (1457m), Schliersee Hütten","Landschaftsgeschichte: Alm-Bewirtschaftung 500+ Jahre; Weidelandschaft; Tourismus-Anfänge.","Schliersee panorama unten. Oberbayerische Hügellandschaft. Dramatische Gewitterkulisse."
Wallberg,Bayern,3,1722,T2,"Wall: Erhebung, Bergkamm. Berg: Berg. Name: Charakteristische Wallform.","Tegernsee-Klassiker mit prähistorischer Besiedlung (Siedlungsspuren 3000 v.Chr.). Wallberg-Bahn seit 1968 (moderne Luftseilbahn).","Juni–Oktober","https://www.tourentipp.com/","Wallberg-Bahn (Seilbahn): 10min. Zu Fuß von Gmund (Ostufer): 2h T2. Wanderung via Rottach-Egern: 3h T2.","Wallberg Hütte (1720m), Achsel Hütte (1484m), Gmund Hütte (815m)","Prähistorisch: Neolithische Siedlungsspuren. Tegernsee-Geologie (glazialer See).","Tegernsee türkisblau unter dem Gipfel. Wallberg-Bahn als Struktur sichtbar. Dramatisch bei Föhn-Wetter."
