species_de,species_la,priority_tier,typical_size_cm,habitat_de,german_name_origin,fun_fact_de,catch_season_hint,regulations_link,recipe_camp,recipe_home,moon_solunar_relevance,photo_notes
Hecht,Esox lucius,1,40–130,"Seen, Flüsse, Altarme — lauert regungslos in Krautfeldern","Mhd. 'hëchet' — der Stecher, nach dem spitzen Maul","Der Hecht kann bis zu 1,5 m lang werden und frisst Fische bis zur Hälfte seiner eigenen Körperlänge. In Bayern wird er auch 'Wasserwolf' genannt.",Frühling bis Herbst — im Sommer besonders aktiv in flachen Uferzonen,https://www.gesetze-bayern.de/Content/Document/BayAVFiG,Hecht am Spieß über Lagerfeuer — Kräuterbutter und Zitrone,Hechtfilet gebraten mit Kartoffel-Gurkensalat nach fränkischer Art,Raubfische beißen oft besser bei Vollmond und Neumond — Hechte sind dämmerungsaktiv,Längliches Motiv — Querformat bevorzugt. Oft mit Angler im Bild wegen Größe.
Zander,Sander lucioperca,1,40–100,"Tiefe Seen und langsam fließende Flüsse — bevorzugt trübes Wasser","'Zander' aus dem Slawischen — der 'Zahnfisch'","Der Zander hat die größten Fangzähne aller heimischen Süßwasserfische. Sein Fleisch gilt in der gehobenen deutschen Küche als edelster Süßwasserfisch.",Ganzjährig fangbar — Herbst und Winter sind Topzeiten in Bayern,https://www.gesetze-bayern.de/Content/Document/BayAVFiG,Zanderfilet in Alufolie am Feuer — Weißwein und Dill,Zander auf der Haut gebraten mit Petersilienwurzel-Püree,Nachtaktiv — Mondphasen beeinflussen die Beißzeiten merklich,KEIN BLITZ: Zander haben ein Tapetum lucidum (Reflexschicht im Auge für Nachtsicht) — Blitz erzeugt unnatürliches Augenleuchten. Natürliches Licht oder Dämmerung nutzen.
Wels,Silurus glanis,1,60–250+,"Tiefe Flussabschnitte, Stauseen, Baggerseen — Donau-Einzugsgebiet","'Wels' / 'Waller' — urgermanisch, verwandt mit 'wallen' (sich wälzen)","Der Wels ist der größte Süßwasserfisch Europas — über 2,5 m und 100 kg in der Donau bei Passau. Sein Fleisch ist über 10% Fett und komplett grätenfrei. In Bayern heißt er auch Waller.",Sommer — nachtaktiv bei warmem Wasser über 15°C,https://www.gesetze-bayern.de/Content/Document/BayAVFiG,Welssteaks am Grill — Paprikamarinade nach ungarischer Art,Wels-Gulasch mit Kartoffelknödeln — ein Donau-Klassiker,Extrem nachtaktiv — Neumond-Nächte ohne Mondlicht gelten als beste Beißzeit,TROPHY: Oft extremes Querformat nötig. Kartenvorlage muss sehr breites Motiv verkraften.
Huchen,Hucho hucho,1,60–120,"Schnell fließende Flussabschnitte — der 'Donaulachs'","'Huchen' — bayerisch, möglicherweise verwandt mit 'Huch' (Schreck/Überraschung)","Der Huchen ist einer der seltensten Süßwasserfische Europas und heißt auch Donaulachs. Bayern beherbergt einen bedeutenden Teil des weltweiten Bestands. Fang nur mit Sondergenehmigung.",Streng limitiert — nur auf Anfrage beim Gewässerbewirtschafter,https://www.gesetze-bayern.de/Content/Document/BayAVFiG,"🌿 Ökologie statt Rezept: Der Huchen ist der Topräuber bayerischer Flüsse — er frisst Äschen, Nasen und sogar Wasserratten. Seine größten natürlichen Feinde: Kormoran und Fischotter, beide in Bayern heiß diskutiert.","🌿 Ökologie statt Rezept: Bayern hält einen der letzten stabilen Wildbestände weltweit. Schlüsselgewässer: Pfreimd, Ilz, Isar. Naturschutzbehörden überwachen jedes Laichrevier einzeln.",Kaum relevant — Huchen-Angeln ist hochspezialisiert und selten erlaubt,SELTEN: Wenn ein Kontakt ein Huchen-Foto hat ist es ein Jackpot-Motiv. Royalty-free Fallback schwierig.
Bachforelle,Salmo trutta fario,2,20–60,"Kalte, sauerstoffreiche Bäche und Flüsse — Oberpfälzer Wald","'Forelle' von lat. 'tructa' über ahd. 'forhana' — die Gefleckte","Die Bachforelle ist Bayerns beliebtester Speisefisch aus dem Gebirgsbach. Ihr Punktmuster ist so einzigartig wie ein Fingerabdruck — keine zwei Bachforellen sehen gleich aus.",Frühling bis Herbst — klassische Fliegenfisch-Saison,https://www.gesetze-bayern.de/Content/Document/BayAVFiG,Forelle in Zeitungspapier am Lagerfeuer — Butter und frische Kräuter,Forelle Müllerin — gebräunt in Butter mit Mandeln und Zitrone,Forellen sind tagaktiv — Mondphasen weniger entscheidend als Insektenschlupf,Wunderschöne Punkte und Farben — Foto im Wasser oder auf nassem Stein zeigt Zeichnung am besten. Die Schleimschicht (Mucin) hält die Farben leuchtend; trocknet sie ab, verblassen die Punkte sofort.
Regenbogenforelle,Oncorhynchus mykiss,2,25–60,"Besatzfisch in Seen und Teichen — ursprünglich aus Nordamerika","'Regenbogen-' nach dem schillernden Seitenstreifen","Zwischen 1880 und 1884 in Bayern eingebürgert. Die Regenbogenforelle ist der meistbesetzte Salmonide in deutschen Gewässern — ein Neozoon das zum Stammgast wurde.",Ganzjährig in Besatzgewässern — Forellenseen haben eigene Regeln,https://www.gesetze-bayern.de/Content/Document/BayAVFiG,Regenbogenforelle am Räucherhaken über Buchenholz,Forellenfilet mit Meerrettich-Sahnesauce — bayerisch-frisch,Weniger mondabhängig — beißt relativ zuverlässig zu allen Zeiten,Regenbogenstreifen kommt im Foto oft nicht raus — seitliches Licht hilft.
Seeforelle,Salmo trutta lacustris,2,40–90,"Tiefe Voralpenseen — Walchensee, Königssee, Chiemsee","'See-' + 'Forelle' — die Seeform der Bachforelle","Die Seeforelle kann über 10 kg schwer werden und ist der 'Hai der Voralpenseen'. Sie steigt zum Laichen in Zuflüsse auf — ein Naturschauspiel im Herbst.",Frühling bis Herbst — Schleppfischen auf Voralpenseen,https://www.gesetze-bayern.de/Content/Document/BayAVFiG,Seeforelle am offenen Feuer — ganze Forelle mit Wacholder,Seeforellenfilet pochiert mit Safransauce,Tiefwasserfisch — Mondphasen sekundär gegenüber Wassertemperatur und Tiefe,ALPENSEE: Foto zeigt oft Bergkulisse im Hintergrund — starkes Kartenmotiv.
Saibling,Salvelinus umbla,2,20–50,"Kalte, tiefe Alpenseen und Gebirgsbäche","'Saibling' von mhd. 'sëlbling' — der Buntfarbige","Der Seesaibling hat den leuchtend orangefarbenen Bauch, der ihn zum vielleicht schönsten heimischen Süßwasserfisch macht. Sein zartes, lachsrosa Fleisch erzielt am Markt höhere Preise als Regenbogenforelle.",Ganzjährig in tiefen Seen — Herbst für Bachsaiblinge,https://www.gesetze-bayern.de/Content/Document/BayAVFiG,Saibling auf Zedernholzbrett am Feuer — Honig-Soja-Glasur,Saiblingsfilet auf Blattspinat mit Zitronenbutter,Tiefwasserbewohner — wenig Mondeinfluss nachweisbar,FARBE: Der orangefarbene Bauch ist DAS Fotomotiv. Nassen Fisch fotografieren — Farben sind intensiver.
Äsche,Thymallus thymallus,2,25–50,"Klare Fließgewässer mit kiesigem Grund — die 'Äschenregion'","'Äsche' von lat. 'thymallus' — riecht frisch nach Thymian","Frisch gefangene Äschen verströmen tatsächlich einen dezenten Thymianduft — daher auch der lateinische Name. Ihre segelartige Rückenflosse macht sie unverwechselbar.",Status je nach Gewässer stark unterschiedlich — lokal informieren,https://www.gesetze-bayern.de/Content/Document/BayAVFiG,Äsche am Steckerl über dem Feuer — mit Bergkräutern,Äschenfilet gedünstet auf Gemüsebett — zarter als Forelle,Tagaktiv — Mondphasen wenig relevant; Insektenschlupf entscheidend,FLOSSE: Die große Rückenflosse muss im Bild sein — das ist das Erkennungsmerkmal.
Karpfen,Cyprinus carpio,3,30–100,"Teiche, Weiher, langsame Flussabschnitte — Oberpfälzer Karpfenland","'Karpfen' über lat. 'carpa' — keltischen Ursprungs","Die Oberpfalz ist eines der ältesten Karpfenzuchtgebiete Europas. 'Oberpfälzer Karpfen' trägt eine EU-geschützte geografische Angabe (g.g.A.). Karpfen zu Weihnachten und Silvester ist in Bayern Tradition.",Herbst ist Hauptsaison — Abfischung der Karpfenteiche ab Oktober,https://www.gesetze-bayern.de/Content/Document/BayAVFiG,Stockfisch-Karpfen am Spieß — fränkische Tradition,Karpfen gebacken mit Biersauce — Oberpfälzer Weihnachtsklassiker,Karpfen beißen besser bei Warmfronten als bei Mondphasen — Wetter wichtiger als Mond,REGIONAL: Oberpfälzer Karpfenteich als Hintergrund = regionale Identität. TIPP: Bei Karpfen ist Gewicht kulturell wichtiger als Länge — Gewichtsangabe auf der Karte priorisieren.
